material_entity_id	material_entity_type	material_entity_type_iri	material_entity_type_vocabulary	institution_code	institution_id	owner_institution_code	owner_institution_id	collection_code	collection_id	catalog_number	other_catalog_numbers	record_number	preparations	disposition	verbatim_label	associated_sequences	material_citation	material_entity_remarks	material_gathering_id	evidence_for_occurrence_id	derived_from_material_entity_id	derivation_type	derivation_type_iri	derivation_type_vocabulary	part_of_material_entity_id
id.gbif.ch/2062472674	Organism			MHNG	id.gbif.ch/44776251	MHNG		MHNG-MAMO	id.gbif.ch/2432601827	MHNG-MAM-1804.094	MHNG 1804.094					https://www.ncbi.nlm.nih.gov/nuccore/|https://www.ncbi.nlm.nih.gov/nuccore/AF513749|https://www.ncbi.nlm.nih.gov/nuccore/AF326089|https://www.ncbi.nlm.nih.gov/nuccore/AF326089|https://www.ncbi.nlm.nih.gov/nuccore/GU328124|https://www.ncbi.nlm.nih.gov/nuccore/GU328213|https://www.ncbi.nlm.nih.gov/nuccore/GU328049|https://www.ncbi.nlm.nih.gov/nuccore/GU328288|https://www.ncbi.nlm.nih.gov/nuccore/GU328363|https://www.ncbi.nlm.nih.gov/nuccore/GU328431	"Juste J, Ibáñez C, Trujillo D, Muñoz J, Ruedi M (2003) Phylogeography of Barbastelle Bats (Barbastella barbastellus) in the Western Mediterranean and the Canary Islands Acta Chiropterologica 5(2), 165-175. https://doi.org/10.3161/001.005.0201|Hoofer SR, Van Den Bussche RA (2001) Phylogenetic Relationships of Plecotine Bats and Allies Based on Mitochondrial Ribosomal Sequences. Journal of Mammalogy 82(1), 131–137.  http://www.jstor.org/stable/1383681|Hoofer SR, Van Den Bussche RA (2001) Phylogenetic Relationships of Plecotine Bats and Allies Based on Mitochondrial Ribosomal Sequences. Journal of Mammalogy 82(1), 131–137.  http://www.jstor.org/stable/1383686|Lack JB, Roehrs ZP, Stanley Jr CE, Ruedi M, Van Den Bussche RA (2010) Molecular phylogenetics of Myotis indicate familial-level divergence for the genus Cistugo (Chiroptera), Journal of Mammalogy 91(4), 976–992. https://doi.org/10.1644/09-MAMM-A-192.1"		89f92b69-3996-4130-b588-b91072df81ba	id.gbif.ch/925594731					
id.gbif.ch/397850255	Organism			MHNG	id.gbif.ch/44776251	MHNG		MHNG-MAMO	id.gbif.ch/2432601827	MHNG-MAM-1813.044	MHNG 1813.044								cdede25c-21b4-41ec-adef-a6c324c38c34	id.gbif.ch/3820064325					
id.gbif.ch/2690550298	Organism			MHNG	id.gbif.ch/44776251	MHNG		MHNG-MAMO	id.gbif.ch/2432601827	MHNG-MAM-1997.045	MHNG 1997.045								8f849cb9-bfab-4a1a-84ea-25aa2d3d44c2	id.gbif.ch/4261637213					
id.gbif.ch/2597086056	Part of Organism			MHNG	id.gbif.ch/44776251	MHNG		MHNG-MAMO	id.gbif.ch/2432601827	MHNG-MAM-1971.068	MHNG 1971.068		Skull						96557540-c12e-4d0a-9f8d-6f9a2ff732f5	id.gbif.ch/1698496612					id.gbif.ch/331991340
id.gbif.ch/541785446	Part of Organism			MHNG	id.gbif.ch/44776251	MHNG		MHNG-MAMO	id.gbif.ch/2432601827	MHNG-MAM-1989.097	MHNG 1989.097		complete						17050121-aac8-4784-aef8-094c4268e7b0	id.gbif.ch/1094866442					id.gbif.ch/4109704260
id.gbif.ch/909886538	Part of Organism			MHNG	id.gbif.ch/44776251	MHNG		MHNG-MAMO	id.gbif.ch/2432601827	MHNG-MAM-1997.045	MHNG 1997.045		complete						8f849cb9-bfab-4a1a-84ea-25aa2d3d44c2	id.gbif.ch/4261637213					id.gbif.ch/2690550298
id.gbif.ch/3541581100	Part of Organism			MHNG	id.gbif.ch/44776251	MHNG		MHNG-MAMO	id.gbif.ch/2432601827	MHNG-MAM-1997.045	MHNG 1997.045		Skull						8f849cb9-bfab-4a1a-84ea-25aa2d3d44c2	id.gbif.ch/4261637213					id.gbif.ch/2690550298
id.gbif.ch/3119300633	Part of Organism			MHNG	id.gbif.ch/44776251	MHNG		MHNG-MAMO	id.gbif.ch/2432601827	MHNG-MAM-326.028	MHNG 326.028		Skull						12886d8a-42c6-461c-a87b-bf557fcf263b	id.gbif.ch/1930991717					id.gbif.ch/3151586005
id.gbif.ch/1641424264	Part of Organism			MHNG	id.gbif.ch/44776251	MHNG		MHNG-MAMO	id.gbif.ch/2432601827	MHNG-MAM-326.028	MHNG 326.028		Skeleton						12886d8a-42c6-461c-a87b-bf557fcf263b	id.gbif.ch/1930991717					id.gbif.ch/3151586005
id.gbif.ch/3698998572	Part of Organism			MHNG	id.gbif.ch/44776251	MHNG		MHNG-MAMO	id.gbif.ch/2432601827	MHNG-MAM-734.097	MHNG 734.097		mounted						91b65438-36a3-404e-9012-db1b150b5dec	id.gbif.ch/3269584528					id.gbif.ch/3445821799
id.gbif.ch/1449523903	Part of Organism			MHNG	id.gbif.ch/44776251	MHNG		MHNG-MAMO	id.gbif.ch/2432601827	MHNG-MAM-740.019	MHNG 740.019		Skull						91b65438-36a3-404e-9012-db1b150b5dec	id.gbif.ch/3269584528					id.gbif.ch/3445821799
