materialEntityID	materialEntityType	institutionID	institutionCode	ownerInstitutionCode	collectionID	collectionCode	catalogNumber	otherCatalogNumbers	preparations	associatedSequences	materialCitation	derivedFromMaterialEntityID	derivationType	partOfMaterialEntityID
id.gbif.ch/310662365	DNA Sample	id.gbif.ch/44776251	MHNG				MHNG-DNA-1	TA10.06				id.gbif.ch/4109704260	sampledFrom	
id.gbif.ch/989939123	Organism	id.gbif.ch/44776251	MHNG	MHNG	id.gbif.ch/2432601827	MHNG-MAMO	MHNG-MAM-1079.094	MHNG 1079.094						
id.gbif.ch/1723337237	Part of Organism	id.gbif.ch/44776251	MHNG	MHNG	id.gbif.ch/2432601827	MHNG-MAMO	MHNG-MAM-1079.094	MHNG 1079.094	complete					id.gbif.ch/989939123
id.gbif.ch/737579597	Part of Organism	id.gbif.ch/44776251	MHNG	MHNG	id.gbif.ch/2432601827	MHNG-MAMO	MHNG-MAM-1079.094	MHNG 1079.094	Skull					id.gbif.ch/989939123
id.gbif.ch/2281451594	Organism	id.gbif.ch/44776251	MHNG	MHNG	id.gbif.ch/2432601827	MHNG-MAMO	MHNG-MAM-1714.044	MHNG 1714.044						
id.gbif.ch/3337535157	Part of Organism	id.gbif.ch/44776251	MHNG	MHNG	id.gbif.ch/2432601827	MHNG-MAMO	MHNG-MAM-1714.044	MHNG 1714.044	complete					id.gbif.ch/2281451594
id.gbif.ch/1202397484	Part of Organism	id.gbif.ch/44776251	MHNG	MHNG	id.gbif.ch/2432601827	MHNG-MAMO	MHNG-MAM-1714.044	MHNG 1714.044	Skull					id.gbif.ch/2281451594
id.gbif.ch/2062472674	Organism	id.gbif.ch/44776251	MHNG	MHNG	id.gbif.ch/2432601827	MHNG-MAMO	MHNG-MAM-1804.094	MHNG 1804.094		https://www.ncbi.nlm.nih.gov/nuccore/|https://www.ncbi.nlm.nih.gov/nuccore/AF513749|https://www.ncbi.nlm.nih.gov/nuccore/AF326089|https://www.ncbi.nlm.nih.gov/nuccore/AF326089|https://www.ncbi.nlm.nih.gov/nuccore/GU328124|https://www.ncbi.nlm.nih.gov/nuccore/GU328213|https://www.ncbi.nlm.nih.gov/nuccore/GU328049|https://www.ncbi.nlm.nih.gov/nuccore/GU328288|https://www.ncbi.nlm.nih.gov/nuccore/GU328363|https://www.ncbi.nlm.nih.gov/nuccore/GU328431	"Juste J, Ibáñez C, Trujillo D, Muñoz J, Ruedi M (2003) Phylogeography of Barbastelle Bats (Barbastella barbastellus) in the Western Mediterranean and the Canary Islands Acta Chiropterologica 5(2), 165-175. https://doi.org/10.3161/001.005.0201|Hoofer SR, Van Den Bussche RA (2001) Phylogenetic Relationships of Plecotine Bats and Allies Based on Mitochondrial Ribosomal Sequences. Journal of Mammalogy 82(1), 131–137.  http://www.jstor.org/stable/1383681|Hoofer SR, Van Den Bussche RA (2001) Phylogenetic Relationships of Plecotine Bats and Allies Based on Mitochondrial Ribosomal Sequences. Journal of Mammalogy 82(1), 131–137.  http://www.jstor.org/stable/1383686|Lack JB, Roehrs ZP, Stanley Jr CE, Ruedi M, Van Den Bussche RA (2010) Molecular phylogenetics of Myotis indicate familial-level divergence for the genus Cistugo (Chiroptera), Journal of Mammalogy 91(4), 976–992. https://doi.org/10.1644/09-MAMM-A-192.1"			
id.gbif.ch/4229562337	Part of Organism	id.gbif.ch/44776251	MHNG	MHNG	id.gbif.ch/2432601827	MHNG-MAMO	MHNG-MAM-1804.094	MHNG 1804.094	Skull					id.gbif.ch/2062472674
id.gbif.ch/3468126178	Part of Organism	id.gbif.ch/44776251	MHNG	MHNG	id.gbif.ch/2432601827	MHNG-MAMO	MHNG-MAM-1804.094	MHNG 1804.094	complete					id.gbif.ch/2062472674
