survey_id	site_count	site_nesting_description	verbatim_site_descriptions	verbatim_site_names	geospatial_scope_area_value	geospatial_scope_area_unit	total_area_sampled_value	total_area_sampled_unit	reported_weather	reported_extreme_conditions	target_habitat_scope	excluded_habitat_scope	event_duration_value	event_duration_unit	target_taxonomic_scope	excluded_taxonomic_scope	taxon_completeness_reported	taxon_completeness_protocols	is_taxonomic_scope_fully_reported	is_absence_reported	absent_taxa	has_non_target_taxa	non_target_taxa	are_non_target_taxa_fully_reported	target_life_stage_scope	excluded_life_stage_scope	is_life_stage_scope_fully_reported	target_degree_of_establishment_scope	excluded_degree_of_establishment_scope	is_degree_of_establishment_scope_fully_reported	target_growth_form_scope	excluded_growth_form_scope	is_growth_form_scope_fully_reported	has_non_target_organisms	verbatim_target_scope	identified_by	identified_by_id	identification_references	compilation_types	compilation_source_types	inventory_types	protocol_names	protocol_descriptions	protocol_references	is_abundance_reported	is_abundance_cap_reported	abundance_cap	is_vegetation_cover_reported	is_least_specific_target_category_quantity_inclusive	has_vouchers	voucher_institutions	has_material_samples	material_sample_types	sampling_performed_by	sampling_performed_by_id	is_sampling_effort_reported	sampling_effort_protocol	sampling_effort_protocol_id	sampling_effort_value	sampling_effort_unit
BIGC	10	Aquatic stream site divided into 10 reaches	A wadeable stream on the western slope of the Sierra Nevada Mountains | mixed mature cottonwood trees, short grasses, and shrubs | 1 km in length	BIGC | Upper Big Creek					{"minimumWinterTemperatureInDegreesFahrenheit": 32, "maximumWinterTemperatureInDegreesFahrenheit": 48, "maximumSummerTemperatureInDegreesFahrenheit": 57, "maximumSummerTemperatureInDegreesFahrenheit": 68, "annualMeanTemperatureInDegreesFahrenheit": 56, "annualPrecipitationInInches": 34.5}								not reported	not reported																																										
BIGC.20190422.01																	not reported	not reported																			https://orcid.org/0000-0001-7072-0706							NEON.DOC.001295vD										0000-0002-6721-6581, 0000-0001-5717-3867, 0000-0003-2386-8235						
BIGC.20190422.01.1.e-fisher													150	minutes			not reported	not reported																								electrofisher																		
BIGC.20190422.01.2.e-fisher													60	minutes			not reported	not reported																								electrofisher																		
BIGC.20190422.01.3.e-fisher													65	minutes			not reported	not reported																								electrofisher																		
BIGC.20190423.04																	not reported	not reported																			https://orcid.org/0000-0001-7072-0706							NEON.DOC.001295vD										0000-0002-6721-6581, 0000-0001-5717-3867, 0000-0003-2386-8235						
BIGC.20190423.04.1.e-fisher													134	minutes			not reported	not reported																								electrofisher																		
BIGC.20190423.04.2.e-fisher													111	minutes			not reported	not reported																								electrofisher																		
BIGC.20190423.04.3.e-fisher													92	minutes			not reported	not reported																								electrofisher																		
BIGC.20190424.05																	not reported	not reported																			https://orcid.org/0000-0003-3756-1381							NEON.DOC.001295vF										0000-0003-2386-8235, 0000-0002-6721-6581, 0000-0002-7776-2789						
BIGC.20190424.05.1.e-fisher													77	minutes			not reported	not reported																								electrofisher																		
BIGC.20190424.07																	not reported	not reported																			https://orcid.org/0000-0001-7072-0706							NEON.DOC.001295vD										0000-0002-6721-6581, 0000-0003-3756-1381, 0000-0003-2386-8235						
BIGC.20190424.07.1.e-fisher													70	minutes			not reported	not reported																								electrofisher																		
BIGC.20190424.07.2.e-fisher													57	minutes			not reported	not reported																								electrofisher																		
BIGC.20190424.07.3.e-fisher													75	minutes			not reported	not reported																								electrofisher																		
BIGC.20190425.08																	not reported	not reported																			https://orcid.org/0000-0001-7072-0706							NEON.DOC.001295vD										0000-0002-6721-6581, 0000-0003-3756-1381, 0000-0003-2386-8235						
BIGC.20190425.08.1.e-fisher													179	minutes			not reported	not reported																								electrofisher																		
BIGC.20190425.09																	not reported	not reported																			https://orcid.org/0000-0001-7072-0706							NEON.DOC.001295vD										0000-0002-6721-6581, 0000-0003-3756-1381, 0000-0003-2386-8235						
BIGC.20190425.09.1.e-fisher													115	minutes			not reported	not reported																								electrofisher																		
BIGC.20191021.01																	not reported	not reported																			https://orcid.org/0000-0001-7072-0706							NEON.DOC.001295vD										0000-0002-5454-7533, 0000-0001-7332-328X, 0000-0003-2386-8235						
BIGC.20191021.01.1.e-fisher													70	minutes			not reported	not reported																								electrofisher																		
BIGC.20191021.01.2.e-fisher													47	minutes			not reported	not reported																								electrofisher																		
BIGC.20191021.01.3.e-fisher													44	minutes			not reported	not reported																								electrofisher																		
BIGC.20191022.04																	not reported	not reported																			https://orcid.org/0000-0001-7072-0706							NEON.DOC.001295vD										0000-0002-5454-7533, 0000-0001-7332-328X, 0000-0003-2386-8235						
BIGC.20191022.04.1.e-fisher													125	minutes			not reported	not reported																								electrofisher																		
BIGC.20191022.04.2.e-fisher													70	minutes			not reported	not reported																								electrofisher																		
BIGC.20191022.04.3.e-fisher													90	minutes			not reported	not reported																								electrofisher																		
BIGC.20191023.05																	not reported	not reported																			https://orcid.org/0000-0001-7072-0706							NEON.DOC.001295vD										0000-0002-5454-7533, 0000-0001-7332-328X, NA						
BIGC.20191023.05.1.e-fisher													85	minutes			not reported	not reported																								electrofisher																		
BIGC.20191023.07																	not reported	not reported																			https://orcid.org/0000-0001-7072-0706							NEON.DOC.001295vD										0000-0002-5454-7533, 0000-0001-7332-328X, NA						
BIGC.20191023.07.1.e-fisher													56	minutes			not reported	not reported																								electrofisher																		
BIGC.20191023.07.2.e-fisher													65	minutes			not reported	not reported																								electrofisher																		
BIGC.20191023.07.3.e-fisher													41	minutes			not reported	not reported																								electrofisher																		
BIGC.20191024.08																	not reported	not reported																			https://orcid.org/0000-0001-7072-0706							NEON.DOC.001295vD										0000-0002-5454-7533, 0000-0001-7332-328X, NA						
BIGC.20191024.08.1.e-fisher													92	minutes			not reported	not reported																								electrofisher																		
BIGC.20191024.09																	not reported	not reported																			https://orcid.org/0000-0001-7072-0706							NEON.DOC.001295vD										0000-0002-5454-7533, 0000-0001-7332-328X, NA						
BIGC.20191024.09.1.e-fisher													77	minutes			not reported	not reported																								electrofisher																		
BIGC.AOS.fish.point.01	3	3 passes (replicates)	~100m long reaches														not reported	not reported																																										
BIGC.AOS.fish.point.04	3	3 passes (replicates)	~100m long reaches														not reported	not reported																																										
BIGC.AOS.fish.point.05	1	1 pass (replicate)	~100m long reaches														not reported	not reported																																										
BIGC.AOS.fish.point.07	3	3 passes (replicates)	~100m long reaches														not reported	not reported																																										
BIGC.AOS.fish.point.08	1	1 pass (replicate)	~100m long reaches														not reported	not reported																																										
BIGC.AOS.fish.point.09	1	1 pass (replicate)	~100m long reaches														not reported	not reported																																										
